Cycle	Sample.o	Init.PO4.o	Fin.PO4.o	SV30.o	SS.o	SVI.o	Sample.s	Init.PO4.s	Fin.PO4.s	SV30.s	MLSS.s	VSS.s	VSS_SS
1	O1	9.2333	6.404265	0.85	3937	215.9004318	S1	7.31	6.01	65	4729	2357	0.498414041
4		9.3456	2.23641	0.8	3789	211.1375033		7	5.96	63			
7		10.2589	2.0331	0.82	3658	224.166211		7.12	4				
10	O2	11.2987	0.20331	0.78	3568	218.6098655		6.94	3.2				
13		9.8874	0.304965	0.74	3362	220.1070791		7.14	2.3	52			
16		9.8453	0.1525	0.73	3462	210.8607741		6.99	0.7		3635	2568	0.706464924
19		10.5689	0.1017	0.74	3378	219.0645352		7.32	0.2				
22		13.5678	0.4757	0.75	3456	217.0138889		7.31	0				
25		8.7456	0.1017	0.74	3354	220.6320811		7.22	0				
28	O3	9.8875	0.1626	0.73	3468	210.4959631		6.98	0	30			
31		9.5612	0.122	0.72	3445	208.9985486		7.01	0	25	3371	2617	0.776327499
34		10.1245	0.183	0.72	3490	206.3037249		7.25	0	23			
37		10.1564	0.20331	0.7	3477	201.3229796		7.36	0	20			
40		8.4526	0.304965	0.68	3347	203.1670152		7.02	0	20	3579	2566	0.716960045
43		11.1238	0.1423	0.65	3474	187.1042026		7.31	0	20			
46		10.2879	0.061	0.64	3389	188.8462673		7.32	0	20			
49	O4	10.0123	0.4066	0.67	3457	193.8096616		7.23	0	20	3006	2267	0.75415835
52		9.991	0.7624	0.62	3347	185.2405139		7.25	0	18			
55		12.4563	0.305	0.58	3396	170.7891637		7.22	0	17			
58		9.8971	0.20331	0.55	3654	150.5199781		7.31	0	17	3225	2355	0.730232558
61		9.8645	0.183	0.5	3676	136.0174102		7.33	0	16			
64		12.4789	0.018	0.38	3245	117.1032357		7.31	0	15	2958	2259	0.763691684
67		10.2587	0.09	0.36	3431	104.9256776	S23	7.33	0	15			
70	O5	9.5678	0.244	0.32	3526	90.75439592							
73		8.7569	0.20331	0.4	3529	113.3465571							
76		11.2689	0.20331	0.34	3426	99.24109749							
79		10.0235	0.018	0.25	3455	72.35890014							
82		11.4562	0.0169	0.28	3478	80.50603795							
85		9.7842	0.0508	0.29	3432	84.4988345							
88		11.0945	0.1017	0.3	3335	89.95502249							
91		10.2568	0.305	0.24	3478	69.00517539							
94		8.9874	0.1423	0.25	3318	75.34659433							
97	O6	10.4569	0.4066	0.22	3419	64.34630009							
100		9.4526	0.0678	0.2	3312	60.38647343							
103		13.5987	0.1017	0.19	3321	57.21168323							
106		10.0123	1.0017	0.2	3012	66.40106242							
109		11.2568	2.0078	0.2	3145	63.59300477							
112	O7	9.4879	5.0789	0.19	3312	57.36714976							
115		12.5641	6.5178	0.2	3214	62.22775358							
117		9.1456	6.5789	0.2	3315	60.33182504							
120		10.6541	6.7592	0.2	3011	66.42311524							
