Time	Phase	15	40	75	90
0	Anaerobic	9.5353	13.277	9.5256	9.9813
10	Anaerobic	20.1569	30.0543	25.4677	23.4158
20	Anaerobic	28.7266	47.5558	51.1768	34.1581
30	Anaerobic	36.5721	50.5733	72.5407	55.522
40	Anaerobic	42.7278	58.2981	87.0247	83.7658
50	Anaerobic	48.0386	68.9197	88.111	89.5594
60	Anaerobic	50.8147	79.5413	85.2142	94.6288
70	Anaerobic	51.2975	87.6282	81.5932	92.4562
80	Anaerobic	56.1255	74.2305	88.3524	90.2836
90	Anaerobic	60.2293	82.9209	91.732	92.3355
100	Anaerobic	59.6258	86.0591	90.0422	90.4043
110	Anaerobic	62.4019	82.6795	90.1629	91.3699
120	Anaerobic	62.4019	87.7489	91.732	91.0078
130	Anaerobic	62.4019	85.697	85.3349	88.9559
0	Aerobic	64.9366	80.3862	83.6451	78.2136
10	Aerobic	60.8328	69.6439	74.7133	63.1261
20	Aerobic	52.3838	54.7978	60.4707	52.6252
30	Aerobic	41.038	43.8141	50.2112	41.6415
40	Aerobic	32.8304	32.2269	40.7966	30.5371
50	Aerobic	25.9505	21.3639	25.347	26.3126
60	Aerobic	19.4327	18.7085	22.8123	17.6222
70	Aerobic	12.07	12.9149	16.6566	13.277
80	Aerobic	11.2251	9.5353	11.1044	9.2939
90	Aerobic	8.0869	5.9143	7.9662	6.5178
100	Aerobic	6.2764	3.7417	4.1038	1.3277
110	Aerobic	3.5003	1.9312	0.8449	0
120	Aerobic	2.0519	0.8449	4.9487	0
130	Aerobic	0.9656	0.2414	0.1207	0
140	Aerobic	0.2414	0	0.1207	0
150	Aerobic	0	0	0.1207	0
